"","franchID","yearID","WARP","W"
"843","CIN",1954,-1.99,74
"844","CIN",1955,21.65,75
"845","CIN",1956,23.34,91
"846","CIN",1957,20.71,80
"847","CIN",1958,8.28,76
"848","CIN",1959,28.1,74
"849","CIN",1960,26.49,67
"850","CIN",1961,33.11,93
"851","CIN",1962,38.83,98
"852","CIN",1963,30.59,86
"853","CIN",1964,42.46,92
"854","CIN",1965,41.26,89
"855","CIN",1966,18.65,76
"856","CIN",1967,33.03,87
"857","CIN",1968,34.09,83
"858","CIN",1969,31.27,89
"859","CIN",1970,48.31,102
"860","CIN",1971,18.32,79
"861","CIN",1972,46.1,95
"862","CIN",1973,34.7,99
"863","CIN",1974,43.68,98
"864","CIN",1975,47.27,108
"865","CIN",1976,47.03,102
"866","CIN",1977,35.06,88
"867","CIN",1978,34.79,92
"868","CIN",1979,33.65,90
"869","CIN",1980,30.49,89
"870","CIN",1981,29.56,66
"871","CIN",1982,27.15,61
"872","CIN",1983,16.8,74
"873","CIN",1984,21.38,70
"874","CIN",1985,26.73,89
"875","CIN",1986,32.4,86
"876","CIN",1987,28.86,84
"877","CIN",1988,40.72,87
"878","CIN",1989,23.24,75
"879","CIN",1990,41.38,91
"880","CIN",1991,25.98,74
"881","CIN",1992,42.07,90
"882","CIN",1993,27.85,73
"883","CIN",1994,35.76,66
"884","CIN",1995,41.94,85
"885","CIN",1996,35.81,81
"886","CIN",1997,25.72,76
"887","CIN",1998,31.72,77
"888","CIN",1999,42.33,96
